Index,Zone,Region,Resource,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168
92,1,HL,onshore_wind_turbine,617.9,484.3,893.4499999999999,985.3,768.1999999999999,501.0,342.35,208.75,125.25,551.1,1269.2000000000003,1761.85,1887.1,1736.8,1528.0499999999997,1260.85,1093.8500000000001,1336.0,1102.2,684.7,334.0,158.65,58.45,33.4,25.05,16.7,8.35,0.0,0.0,0.0,0.0,0.0,0.0,50.09999999999991,167.0,292.25,442.55,542.75,542.75,275.54999999999995,158.65,208.75,509.34999999999997,1085.5,1878.75,2496.65,2797.25,2404.7999999999997,1160.65,475.95000000000005,233.8,83.5,25.05,25.05,41.75,0.0,8.349999999999909,308.95,1194.05,1135.6000000000001,885.1,584.5000000000001,208.75000000000006,141.95000000000002,342.35,509.34999999999997,592.8499999999999,651.3,567.8000000000001,534.4,617.9,743.15,1043.75,1469.6,1962.25,2279.55,2187.7000000000003,1895.45,943.5500000000001,125.25,125.25,133.5999999999999,125.25,200.4,542.75,960.25,1127.25,893.45,918.5,1511.35,2505.0,3306.6000000000004,3732.4500000000003,4291.900000000001,4291.900000000001,3498.6499999999996,2104.2,860.05,258.85,8.35,0.0,0.0,0.0,0.0,0.0,16.7,41.75,300.59999999999997,409.15000000000003,308.9499999999998,141.95000000000002,33.4,8.35,75.14999999999999,885.1,2421.5,3707.4,4617.55,4976.599999999999,4726.099999999999,4083.15,4091.5,4033.0499999999997,3799.25,3757.5,3832.65,3490.2999999999997,2454.8999999999996,1728.4499999999998,1336.0,1469.5999999999997,2271.2000000000003,2588.5,2630.2500000000005,2839.0,3699.0499999999997,4241.8,4801.25,5744.799999999999,5544.400000000001,5652.950000000001,5953.549999999999,5769.849999999999,5385.75,5218.75,5594.5,5953.549999999999,6095.5,6513.0,6897.099999999999,6554.75,6847.0,7715.400000000001,8041.049999999999,8199.7,8258.15,8258.15,8216.4,8074.45,7857.349999999999,7615.200000000001,7423.150000000001,7297.9,6838.65,5895.099999999999,4901.45,4133.25,0.0
93,1,HL,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1234.8,2234.4,2839.2000000000003,3200.4,3322.2000000000003,3225.6,2902.2,2276.4,1457.4,508.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1012.1999999999999,2032.8,2654.4,3032.4,3120.6,3045.0,2763.6,2213.4,1486.8,562.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,995.4,1818.6,1428.0,1108.8,844.2,680.4,583.8000000000001,508.2,348.6,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.39999999999998,575.4000000000001,1394.4,2507.4,3066.0,3229.8,3124.8,2793.0,2234.4,1440.6000000000001,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1104.6000000000001,1822.8,2238.6,2637.6,2784.6000000000004,2814.0,2549.4,2032.8,1255.8,386.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,142.8,289.8,512.4,1083.6000000000001,2578.7999999999997,2709.0,1566.6,688.8000000000001,512.4,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.39999999999964,1121.4,2087.4000000000005,2717.3999999999996,2961.0,2919.0,2272.2000000000003,1848.0,1772.4000000000005,1264.2,394.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,2,IME,onshore_wind_turbine,7992.0,7752.24,8411.58,8931.06,9070.92,7492.5,6813.18,5754.24,7552.44,8451.539999999999,7172.82,6513.4800000000005,6453.54,5634.36,4595.400000000001,3856.14,2757.2400000000002,2037.9599999999998,2397.6,3016.98,3176.82,3976.02,5114.88,6533.46,7732.26,8431.56,8191.799999999999,7652.34,7372.62,7492.5,7872.12,5234.76,3256.74,6313.68,5894.099999999999,6553.4400000000005,7192.8,6913.08,5334.66,5014.98,5054.94,4195.8,3096.9,2317.6800000000003,2477.52,2757.2400000000002,3336.6600000000003,3876.12,3916.08,4175.82,4375.62,4335.66,3896.1,2597.4,2197.8,1178.82,279.72,39.96,39.96,279.72000000000014,199.79999999999995,79.92,0.0,0.0,0.0,159.84,639.36,719.28,559.44,199.8,39.96,19.98,219.78,1558.44,3916.08,6653.34,8871.12,10369.62,11208.78,7532.46,3536.46,5014.98,4255.74,3576.42,3516.48,3296.7,2697.3,1578.42,399.6,79.92,99.9,499.5,1078.92,1518.48,1798.2,1958.04,1998.0,1698.3000000000002,1438.56,1318.68,899.1,439.56,99.9,0.0,0.0,959.04,4775.22,4815.18,3716.28,2357.64,1618.38,1578.42,3156.84,7132.86,9110.880000000001,8811.18,7672.32,5874.12,4015.98,2477.52,1898.1,1418.58,1218.78,1518.48,2537.46,4055.94,4915.08,4155.84,4475.52,6433.56,7152.84,8371.619999999999,12447.54,15224.76,15864.12,16083.900000000001,17022.96,17962.02,19060.92,19460.52,19680.3,19780.2,19760.22,19620.36,19560.42,19600.38,19520.46,19560.42,19680.3,19760.22,19780.2,19760.22,19780.2,19560.42,19540.44,19740.24,19780.2,19740.24,19640.34,19380.6,18721.260000000002,17582.4,17062.92,16323.66,15804.18,13606.380000000001,12607.38,12447.54
175,2,IME,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,6.0479999999997744,241.92000000000002,535.2479999999996,641.088,768.096,898.1279999999997,1000.9440000000001,976.7520000000001,765.072,495.93600000000004,190.512,18.144000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.120000000000001,474.76800000000003,1264.032,1762.992,2210.544,2479.68,2249.855999999999,2007.9359999999997,1874.8799999999999,997.9200000000001,278.20799999999997,30.240000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.480000000000004,160.272,320.544,613.8720000000001,895.1039999999999,955.5840000000001,873.9359999999999,904.1759999999999,774.144,426.38399999999996,63.50399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.048,123.98400000000001,520.1279999999999,1270.08,2264.976,2455.4880000000003,2479.68,2340.576,1926.2879999999996,1545.2640000000001,722.736,105.83999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.024,260.06399999999996,731.808,1651.1040000000003,2050.272,2252.88,2268.0000000000005,1917.216,1318.464,692.496,260.06399999999996,30.240000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.68,922.3199999999997,1505.952,1082.5920000000006,849.744,762.048,1182.384,1251.936,1176.336,650.1599999999999,108.86399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.024,414.288,1384.992,1808.351999999999,1829.52,1880.9279999999999,2065.3920000000003,2140.9919999999984,2053.2959999999985,1617.8400000000001,955.5839999999989,160.272,0.0,0.0,0.0,0.0,0.0,0.0
248,3,JL,onshore_wind_turbine,1057.35,704.9,325.85,79.8,19.95,26.6,106.4,372.40000000000003,452.20000000000005,279.3,551.9500000000003,924.3500000000001,1356.6,1848.7000000000003,2354.1,2759.75,2992.5,2872.8,2433.9,2048.2,1482.95,931.0000000000001,478.79999999999995,266.0,299.25,512.05,764.75,1004.15,1256.85,1469.65,1582.6999999999998,1476.3,1030.75,831.25,159.60000000000014,13.3,133.0,458.8499999999999,804.65,950.9499999999999,798.0,651.7,438.90000000000003,399.0,359.1,372.40000000000003,405.65,551.95,1017.4499999999999,1669.15,2161.25,2340.7999999999997,2334.1499999999996,2287.6,2161.25,1915.1999999999998,1808.8000000000002,1928.4999999999998,1562.75,1376.55,1223.6,1177.05,1190.35,1443.05,1941.8,2480.45,2806.2999999999997,3291.75,3497.9,3597.65,3704.05,3690.7500000000005,3504.55,3305.05,3211.95,3384.85,3704.05,3843.7,3730.6500000000005,3471.3,3231.9,4349.1,4375.7,4016.5999999999995,3664.15,3451.3499999999995,3371.55,3524.5,3737.3,3843.7,3724.0000000000005,3923.5,4156.25,4448.85,4688.25,4901.05,5120.5,5273.45,5359.900000000001,5472.95,5599.3,5632.55,5679.099999999999,5685.75,5373.200000000001,6290.9,6517.0,6463.799999999999,6377.349999999999,6284.249999999999,6204.450000000001,6118.0,6044.85,5878.6,5406.45,5559.4,5572.7,5552.75,5486.25,5306.700000000001,4967.55,4741.45,4541.950000000001,4083.1,3537.8,3039.05,2613.4500000000003,2334.1499999999996,2407.2999999999997,2394.0,2573.55,2766.4,3078.9500000000003,3271.7999999999993,3564.4,3211.95,1968.3999999999996,911.0500000000001,658.35,631.75,631.75,578.55,432.25,166.25,13.3,0.0,0.0,179.55,518.7,498.75,365.75,359.1,372.40000000000003,525.3499999999999,1024.1,1695.75,2413.95,2832.9000000000005,2846.2,2872.8,3059.0,3198.65,3391.5,4169.55,4541.950000000001,4468.8,4189.5,0.0
249,3,JL,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,86.5,709.3,1543.16,2197.1,2525.7999999999997,2664.2,2588.08,2242.08,986.0999999999999,557.0600000000001,242.19999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.98,363.29999999999995,892.6800000000001,1512.02,1896.0800000000002,2269.76,2249.0,2065.62,1719.62,1124.5,460.18,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.86,377.14,380.6,467.10000000000014,643.56,588.2,557.06,505.1600000000001,397.90000000000003,249.11999999999998,103.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88,643.5600000000004,1588.1399999999999,2207.48,2546.5600000000004,2691.88,2629.6,2373.5600000000004,1927.2200000000003,1283.66,501.6999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.23999999999998,688.5400000000001,678.1599999999999,764.66,799.26,1425.52,1999.8799999999999,2051.7799999999997,1740.38,1155.64,435.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,193.76,460.18,1086.44,1567.38,1743.8399999999997,1975.6600000000003,1764.6000000000001,1100.2800000000002,435.96,93.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.86,882.3000000000001,1685.02,2259.38,2598.46,2698.8,2629.5999999999995,2383.9399999999996,1909.92,1217.9199999999998,463.6399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,4,LN,onshore_wind_turbine,3010.9900000000002,4130.6,4543.66,5163.25,6326.339999999999,6391.5599999999995,7500.299999999999,7554.65,8869.92,9717.78,10011.27,9869.960000000001,9435.16,8674.26,7750.3099999999995,6043.72,4380.610000000001,4261.04,4934.9800000000005,5619.79,5587.18,4978.46,5054.55,5239.34,4695.84,4652.36,4391.4800000000005,3945.81,3945.81,4261.04,4315.39,3771.89,3293.61,7228.55,8228.59,8315.55,8054.67,7880.75,7685.089999999999,6511.13,4826.28,5358.91,5076.29,5076.29,5348.04,5076.29,4815.41,4576.2699999999995,4293.650000000001,4032.77,4011.0299999999997,4021.9,3945.81,3750.1499999999996,3478.4,2445.75,1695.72,2358.79,3445.79,4728.45,5532.83,5717.62,5032.81,3869.72,4456.7,4826.28,4641.49,3576.23,2728.37,2184.8700000000003,1978.34,2282.7,2880.55,3521.88,4076.25,4391.4800000000005,4413.22,4195.82,3804.4999999999995,2000.08,1087.0,2782.7200000000003,3141.4299999999994,2184.8700000000003,1413.1000000000001,989.17,804.38,663.0699999999999,380.45000000000005,184.79000000000002,65.22,21.740000000000002,10.870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.870000000000001,65.22,206.53,195.66,32.61,10.86999999999989,10.870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.870000000000001,43.480000000000004,152.18,532.63,1065.26,1152.22,978.3,858.73,891.34,1413.1000000000001,2282.7,1847.9,1119.6099999999997,2728.37,4978.46,6163.289999999999,6641.57,5587.18,3815.37,2793.59,3195.7799999999997,4543.66,5239.34,5369.78,5674.14,5913.280000000001,5424.13,5152.38,6261.12,7630.74,7043.76,7065.5,7043.76,6587.22,6021.9800000000005,3576.23,7108.98,8206.85,7945.97,7261.160000000001,6598.089999999999,6348.08,6141.549999999999,5163.25,3456.66,3978.42,4858.89,5076.29,4891.5,4739.32,4793.67,5130.639999999999
377,4,LN,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,4.78,138.62,372.84,669.2,841.28,960.7800000000001,989.4599999999991,965.5599999999995,822.1599999999999,559.26,200.76000000000002,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.56,195.98000000000002,1371.8600000000001,2409.12,3025.7400000000002,3274.3,2982.72,1888.1000000000001,1443.5600000000004,664.4200000000001,148.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.11999999999989,205.53999999999996,654.8599999999999,1032.48,1352.7399999999998,1572.6200000000001,1615.64,1324.0600000000002,712.2199999999999,262.9,90.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.94,989.4599999999999,2155.78,2925.3599999999997,3417.7,3661.48,3637.58,3346.0,2805.8599999999997,1969.36,898.6400000000001,47.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.28,1075.5,2127.1,2896.68,3384.24,3604.12,3551.54,3245.6200000000003,2676.8,1830.74,793.48,14.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36,501.9,975.1199999999999,1037.26,1582.18,2026.72,1166.32,740.9,473.22,262.9,81.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.28,927.32,1888.1000000000001,2088.86,1663.4399999999996,1586.96,1653.8799999999999,1505.7,1548.72,1376.6399999999994,884.3,28.679999999999836,0.0,0.0,0.0,0.0,0.0,0.0
81,1,HL,conventional_hydroelectric,789.8559959999998,598.7619919999997,407.6679879999998,216.57398399999988,25.47997999999984,-2.2737367544323206e-13,898.9059959999997,1035.45,844.355996,709.6377199999998,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,88.67868899999985,-2.2737367544323206e-13,56.16065599999956,136.5440040000001,1035.45,1035.45,1035.45,925.3598150741143,734.2658110741144,543.1718070741144,425.41202,234.31801599999994,43.2240119999999,536.307504000001,1035.45,1035.45,844.355996,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,23.529455000000098,182.84121800000025,191.0440040000001,122.47729999999979,361.64809599999967,1035.45,1035.45,955.4700199999999,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,19.322914000000083,-2.2737367544323206e-13,31.854710999999497,191.04400399999997,345.0366920389364,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,98.78861900000015,136.71986000000015,196.2051710000003,5.1111670000002505,79.45643300000029,191.0440040000001,1035.45,1035.45,1035.45,1035.45,909.2758176118115,718.1818136118115,527.0878096118115,335.99380561181147,144.89980161181143,-2.2737367544323206e-13,56.56402400000002,955.4700199999999,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,142.21546200000057,23.902693000000227,191.0440040000001,686.0721599999997,585.2453250000001,1035.45,955.4700199999999,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,334.84982805634604,421.3824840090192,550.2458949999998,492.27434500000004,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,3.0694037120531448,190.74689971205294,423.2694509977921,232.17544699779205,159.9461130000002,136.5440040000001,1035.45,1035.45,955.4700199999999,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,191.0440040000001,-2.2737367544323206e-13,-2.2737367544323206e-13,191.04400399999997,887.8836390000004,696.7896350000003,505.6956310000003,314.60162700000024,123.5076230000002,-2.2737367544323206e-13,191.0440040000001,428.7176200000001,237.62361600000008,132.79638499999942,470.85924918129865,892.9990249999994,965.1158849999995,955.4700199999999,764.3760159999999,573.2820119999999,382.18800799999985,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,437.0736959999997,652.1822439999985,461.08823999999845,269.9942359999984,273.16661999999747,191.0940039999998,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,30.447244385771455,117.00391038577095,349.92813638577013,980.9500000000003
134,2,IME,conventional_hydroelectric,212.289325,253.98202499999994,169.32134999999994,84.66067499999994,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,169.32134999999994,84.66067499999994,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,39.051229999999975,84.61067499999999,31.034749999999633,-5.684341886080802e-14,84.61067499999999,84.61067499999999,-5.684341886080802e-14,169.32134999999994,84.66067499999994,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,245.33932499999997,160.67864999999998,76.01797499999998,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,34.76532499999979,6.9709300000001235,-5.684341886080802e-14,3.6533900000001154,-5.684341886080802e-14,12.681104999999377,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,29.77333500000003,-5.684341886080802e-14,28.950800000000413,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,32.414445,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,83.07871499999959,35.09114499999981,-5.684341886080802e-14,44.119555000000105,84.61067499999999,313.45,253.98202499999994,169.32134999999994,84.66067499999994,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,19.740324999999928,-5.684341886080802e-14,22.217675000000042,-5.684341886080802e-14,6.198669999999936,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,37.51424499999888,-5.684341886080802e-14,76.06135000000012,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,44.525709999999606,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,5.490970000000004,-5.684341886080802e-14,10.39329000000015,-5.684341886080802e-14,-5.684341886080802e-14,33.8637099999998,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,46.08375000000234,47.55387500000069,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,68.11067499999996,313.45,313.45,313.45,313.45,228.789325,144.12865,84.66067499999994,-5.684341886080802e-14,-5.684341886080802e-14,68.11067499999996,313.45,228.789325,144.12865,313.45,228.789325,144.12865,84.66067499999994,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,84.61067499999999,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,26.44295500000203,84.61067499999999,296.95000000000005
