Index,Zone,Region,Resource,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168
92,1,HL,onshore_wind_turbine,2369.611494800481,2291.157894800476,2291.157894800476,2291.157894800476,2277.5156788004206,2271.2000000000003,567.8000000000001,75.14999999999999,125.25,275.55,509.34999999999997,701.4000000000001,768.1999999999999,709.75,634.6000000000001,676.3499999999999,1252.5,2154.3,3365.05,3815.9500000000003,3340.0,2897.45,2399.289119378072,1184.1292893779794,1311.1289521291496,1231.184652129218,1231.184652129218,1093.8500000000001,1077.15,1068.8,517.7,250.5,409.15000000000003,718.0999999999999,918.5,1427.8500000000001,1753.5,1185.6999999999998,542.75,192.04999999999998,108.55,208.75,626.25,993.65,1077.15,809.95,668.0,542.75,434.2,342.35,242.15,200.4,192.04999999999998,125.25,8.35,0.0,8.35,25.05,83.5,175.3499999999999,233.8,225.45,175.35000000000014,83.5,33.4,25.05,8.35,8.35,66.8,626.25,1597.9127307959589,361.83015079593764,430.55553201502073,0.0,0.0,343.99593201501676,678.7416320150229,976.95,734.8000000000001,459.25,567.8000000000001,943.5500000000001,1169.0,1160.65,960.25,860.0500000000001,1068.8,1010.3499999999999,985.3,1219.1,1210.75,1519.7,1427.8500000000001,1002.0,551.1,250.5,183.7,225.45,359.04999999999995,526.05,375.75,200.4,91.85,233.79999999999995,542.75,793.25,1127.25,1536.3999999999996,2237.8,3031.0499999999997,3044.2155279269596,2672.0,2221.1,2463.25,2538.4,2254.5,1427.8500000000001,392.45,16.7,0.0,91.85,718.0999999999999,1219.8537473183292,1222.2164029802161,1539.0616473183304,1394.45,885.1,676.35,409.15000000000003,283.90000000000003,793.25,392.4499999999998,50.1,8.35,16.7,83.5,459.25,1035.4,1194.05,1085.5,1027.05,776.55,642.95,559.45,292.25,183.7,200.4,217.1,200.4,200.4,267.19999999999993,317.29999999999995,526.05,976.9499999999998,676.35,384.0999999999999,233.8,167.0,359.04999999999995,467.60000000000014,150.29999999999995,41.75,0.0,0.0,0.0,0.0,0.0,0.0
93,1,HL,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,42.0,462.0000000000001,1033.2,1491.0,1638.0,1465.8,1218.0,915.6,684.5999999999999,499.79999999999995,361.2,180.5999999999999,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,201.6,466.20000000000005,772.8,1239.0,1566.6,2230.2,2087.4,1314.6,915.5999999999999,819.0,445.2,88.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,621.6,1432.2,2171.4,2688.0,2759.4,2070.6,1906.8,2150.4,1873.2,1146.6000000000001,483.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.400000000000002,537.6,1360.8,2037.0,2503.2,2759.4,2209.2000000000003,1192.8000000000002,810.6,483.0,210.0,88.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.599999999999994,567.0,1432.2,2209.2000000000003,2751.0,2961.0,3028.2,2907.888027926957,2255.1237279269603,2364.6,1663.2,814.8000000000001,109.19999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.800000000000004,201.6,688.8,1318.8,2461.2,2797.2000000000003,2633.4,2352.0,1923.6000000000001,1276.8,365.4,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,302.4,1104.6000000000001,2289.0,2809.8,3137.4,3234.0,3145.8,2843.4,2339.3999999999996,1621.2,781.2,84.0,0.0,0.0,0.0,0.0,0.0,0.0
174,2,IME,onshore_wind_turbine,5054.94,4855.14,4955.04,4655.34,3816.18,2540.8016027272724,2022.5812118181816,1038.96,419.58,119.88,0.0,19.98,0.0,0.0,0.0,139.86,229.1351800000001,319.68,559.44,944.7607618181818,1118.1083300000003,1157.2382618181816,1038.96,1018.9799999999999,1058.94,1158.8400000000001,1238.76,1458.54,1738.26,1627.7592436363634,425.8258611111112,0.0,0.0,0.0,5.753266363636158,558.7625618181814,1315.2863754545451,2093.550734545455,3456.54,4145.638118181819,4560.538733370055,6933.0599999999995,9650.34,9710.28,8051.9400000000005,5529.871548181818,3216.87783,1258.74,79.92,0.0,0.0,1444.0876263636362,3816.18,4535.46,3289.015298181818,1116.3857476130506,1755.9561799999997,3000.6881072727274,2036.1286145454544,2004.7248227272726,4915.08,7432.56,9130.86,9170.82,8051.94,5369.496148181817,3278.0858072727265,1805.1264936363634,834.5138618181817,0.0,0.0,0.0,0.0,0.0,0.0,159.84,939.06,2836.299266363636,4029.2040172727266,8131.86,6933.0599999999995,2257.7400000000002,1018.9799999999999,3056.94,4695.3,3411.7648936363644,2299.3402481818175,1958.04,884.5029036363633,0.0,499.5,1779.0314936363632,2536.4046618181815,3149.1678781818177,3242.8170818181816,5094.9,6973.0199999999995,9670.32,11368.619999999999,11828.16,11368.619999999999,10809.18,7912.08,6753.240000000001,9890.1,9670.32,8811.18,7512.48,6033.96,4955.04,4075.9199999999996,2787.880670909091,1418.58,299.7,119.88,0.0,99.9,0.0,450.2637554545454,1435.4922272727272,6693.3,11928.06,13416.517823678585,13414.125745454545,13416.517823678585,14045.939999999999,11348.64,6993.0,15424.56,14906.161107258573,13746.24,11068.92,9570.42,9210.78,8931.06,7852.139999999999,5034.96,2397.6,1520.048911818182,1538.8377981818182,1476.7051345454545,1026.790689090909,579.4200000000001,299.7,0.0,0.0,0.0,19.98,39.96,219.78,259.74,0.0,339.66,1718.28,3894.6787136363628,8991.0,10469.52,10629.36,11128.86,9950.04,8151.839999999999,9430.56,11248.74,11948.039999999999,11468.519999999999,7752.24,2139.4175099999998,1273.489190909091
175,2,IME,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.624,187.488,298.77679080807803,504.55312555555554,934.4159999999999,1852.3839163636362,1958.4834890909085,1852.8969209090906,1424.6675390909086,970.7040000000001,359.85600000000005,15.120000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.50643888888897,1260.8123027272725,1757.01893,2144.016,2252.88,2195.424,2134.944,783.2530827272722,1566.432,1010.0160000000001,384.048,9.072000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.784,1375.92,1856.7359999999999,2026.0800000000002,2246.832,2243.808,2010.96,1596.672,1185.4080000000001,653.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.32000000000062,580.6080000000001,1104.0100072727264,1737.742357272727,1664.4036125082953,2422.224,2261.9519999999998,1956.528,1283.7846572727271,991.8720000000001,0.0,6.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.368,822.528,1472.6879999999999,1968.624,2298.24,2467.583999999999,2482.7040000000006,2346.6240000000007,1558.7888572727265,1620.864,253.94966363636354,365.52328909090903,6.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.3199999999997,819.5039999999999,1131.0610737185762,1935.3600000000001,2237.7599999999998,2428.271999999999,2434.3199999999997,2295.216,2013.9840000000002,1578.528,488.43665727272673,155.84583454545418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.672,404.44799222222224,861.8399999999999,516.2577159595942,1775.088,1524.096,1221.696,1161.2160000000001,468.71999999999997,287.28000000000003,489.88800000000003,217.72799999999998,3.0239999999994325,0.0,0.0,0.0,0.0,0.0
248,3,JL,onshore_wind_turbine,1343.3000000000002,944.3,605.15,412.3,292.59999999999997,239.39999999999998,279.3,352.45,166.25,166.25,252.69999999999993,212.80000000000007,119.70000000000005,59.849999999999994,66.5,79.8,99.75,146.29999999999998,445.55,1416.45,1995.0,1921.85,1562.75,1117.2,691.6,319.2,86.45,13.3,0.0,0.0,0.0,6.649999999999977,0.0,0.0,0.0,0.0,0.0,0.0,6.65,126.35,432.25,857.85,1376.55,1988.35,2054.85,1609.3,1077.3,658.35,379.05,226.10000000000002,159.6,126.35,99.75,66.5,33.25,13.299999999999955,0.0,0.0,0.0,13.3,39.9,66.5,79.8,133.0,445.55,1290.1000000000001,2214.4500000000003,2879.45,3125.5,3644.2000000000003,4362.400000000001,4462.150000000001,3404.8,2679.9500000000003,2786.35,2972.55,3019.1,2786.35,2573.55,2906.05,2387.35,1469.6500000000003,751.4500000000003,312.55,133.0,259.35,924.3500000000001,1562.75,2068.15,2387.35,2606.8,2886.1,2892.75,2759.75,2560.25,2354.1,2088.1,1941.8,1782.2,1649.2,1576.05,1502.9,1416.4499999999998,1143.8000000000002,758.0999999999999,1090.6000000000001,498.75,73.14999999999999,0.0,0.0,0.0,6.65,26.6,59.849999999999994,73.14999999999999,119.69999999999999,179.55,219.45000000000002,325.85,498.75,625.1,638.4,545.3000000000001,505.4,578.55,778.0500000000001,1077.2999999999997,1210.3,478.79999999999995,212.8,6.65,0.0,6.65,152.94999999999982,538.6499999999999,917.6999999999998,1170.3999999999999,1276.8,1236.9,1290.1000000000001,964.2499999999999,618.45,412.3,292.59999999999997,219.45000000000002,219.45000000000002,299.25,478.79999999999995,698.25,917.7,1183.7,1389.85,798.0,1356.6,3391.5,4056.5,4468.8,4615.099999999999,4601.799999999999,4349.1,3837.0499999999997,3105.55,2094.75,1369.8999999999999,884.45,625.1,711.55,944.3
249,3,JL,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,10.38,173.0,411.74000000000007,605.5,688.5400000000001,612.42,525.92,480.94000000000005,377.14,283.72,173.0,72.66000000000003,6.9199999999999875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.38,304.47999999999996,868.46,1581.22,2034.4799999999998,2179.8,2238.62,2048.3199999999997,1864.94,1695.3999999999999,1300.96,698.9200000000001,138.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.299999999999997,449.8,1131.42,1667.72,1920.3000000000002,1965.2799999999997,1840.72,1840.72,1646.96,1211.0,698.9200000000001,287.18,44.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,432.5,1082.98,1598.52,1954.8999999999999,2290.52,1844.18,1031.08,529.38,678.1600000000001,567.44,252.57999999999998,41.51999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.839999999999918,404.82000000000005,1121.04,1788.8200000000002,2262.84,2556.94,2671.12,2626.14,2422.0,2027.56,1463.58,764.66,128.01999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.919999999999959,352.91999999999996,1152.18,1819.9600000000003,2304.36,2601.92,2705.7200000000003,2626.14,2349.34,1906.4600000000003,1384.0,709.3,117.64000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.919999999999959,432.5,1176.4,1802.6599999999999,2266.3,2525.7999999999993,2601.92,2505.04,2235.16,1806.1200000000001,1010.3199999999997,425.5800000000004,72.65999999999985,0.0,0.0,0.0,0.0,0.0,0.0
376,4,LN,onshore_wind_turbine,1880.5099999999998,1576.1499999999999,1271.79,1163.09,978.3,739.1600000000001,391.32,32.61,0.0,10.870000000000001,10.870000000000001,10.870000000000001,184.78999999999996,532.63,336.96999999999997,173.92000000000002,195.65999999999997,554.37,1271.79,1423.97,1054.39,0.0,586.98,434.8,402.19,521.76,836.99,1195.7,1500.0600000000002,1989.21,1489.19,1260.92,1543.54,1358.75,1195.6999999999998,880.4699999999998,510.89,250.00999999999976,97.82999999999993,32.61,10.870000000000001,0.0,0.0,0.0,54.35,0.0,1456.5800000000002,2282.7,2728.37,2880.55,2913.1600000000003,3293.61,4228.43,5217.599999999999,3945.81,2728.37,6021.9800000000005,7728.57,8674.26,9206.89,9337.33,9011.23,8011.19,6424.17,4684.97,3391.44,2380.53,1173.96,510.89,0.0,0.0,391.32,510.89,739.1600000000001,1152.22,1684.85,2445.75,2695.7599999999998,1869.6399999999999,1097.8700000000001,2576.19,4478.439999999999,5369.78,5674.14,5380.65,5076.29,5674.14,5163.25,3630.5800000000004,3228.39,3815.37,4141.47,4065.38,4369.740000000001,4554.53,4108.86,3271.87,2369.66,1423.97,869.6,630.46,510.89,271.75,97.82999999999993,163.04999999999998,293.4899999999998,336.9699999999998,315.23,271.75,206.53,130.44,54.35,0.0,0.0,0.0,0.0,880.47,531.7643141691052,1684.85,1934.86,1750.07,1434.8400000000001,2641.41,1510.93,228.27,565.24,271.75,456.53999999999996,1271.79,2869.6800000000003,3706.67,3511.01,3043.600000000001,2880.55,3087.0799999999995,3391.44,2858.81,2956.6400000000003,3608.84,3576.23,3065.3399999999997,1271.6007695782066,1597.8899999999999,978.3,391.32,97.83,76.09,163.04999999999998,347.84000000000003,641.3299999999999,673.9399999999999,97.83,141.31000000000017,673.9399999999999,771.77,923.95,782.6399999999999,413.05999999999995,326.0999999999999,434.8,695.6800000000001,1000.04,1250.05,793.51,565.24,1195.7,1043.52,228.27
377,4,LN,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,81.25999999999999,267.68,497.12,707.4399999999999,798.26,817.3800000000001,793.48,822.16,688.3199999999999,731.3399999999999,573.6,157.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,430.2,1304.94,2260.94,2925.3600000000006,3384.24,3608.9,3589.78,3341.22,2839.3199999999997,2103.2,1185.44,301.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.48,1089.8400000000001,1806.84,2571.6399999999994,2934.92,3083.1,3011.4,2796.2999999999997,2423.46,1806.84,1008.5799999999999,248.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.58,984.6800000000001,1716.02,2299.18,1739.9199999999998,1037.26,1515.26,2246.5999999999995,1940.68,1242.8,568.8200000000002,143.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.15999999999997,1233.24,2270.5,2973.16,3412.92,3589.78,3565.88,3307.7599999999998,2796.2999999999997,2069.74,851.6870954545439,272.46000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.12,1108.96,2098.42,2868.0,3360.34,3589.7800000000007,3575.44,3317.3199999999997,2810.64,2084.0800000000004,1171.1,277.2399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.86,1362.3,2012.3799999999999,2265.72,2117.54,1692.1199999999997,1534.38,2208.36,2131.88,1324.0600000000002,559.26,157.74,0.0,0.0,0.0,0.0,0.0,0.0
81,1,HL,conventional_hydroelectric,-6.048139766789973e-11,-5.502442945726216e-11,-5.502442945726216e-11,-5.502442945726216e-11,329.1063159999999,329.1063159999999,556.1380817618651,229.42390579140908,201.75696044672554,329.1063159999999,480.84619919958004,527.1160400000001,0.0,308.4630248004198,584.0745549999999,552.7470686220163,885.9473243779839,329.106316,329.106316,167.33995176185977,490.8726802381402,295.45132176186075,-9.271161616197787e-11,0.0,0.0,-6.815525921410881e-11,-6.815525921410881e-11,137.33465212914894,329.1063159999999,423.2960160249729,909.7199286409211,402.8946286409189,579.4312286409183,47.03574305226908,646.5723430522687,18.013322129150367,0.0,86.96325063715733,265.2257721291496,241.01724305227344,797.2118533590766,896.4507786409235,0.0,658.212632,87.60609100000022,570.6065409999998,329.106316,40.556841249619765,0.0,7.3222963751897225,324.9313160000001,237.27112637519008,329.1063159999999,630.9886814586245,1006.3071270008413,281.7690270008443,182.12153633808816,20.964650795867072,33.91325079586912,546.1084563751905,524.5987741855889,132.35936890300877,261.0386031460771,0.0,540.1687109727328,1062.5970763380951,348.5151763380942,400.594300351078,329.106316,329.106316,-8.86473117134301e-11,-6.681943887087982e-11,-7.136691237974446e-11,343.99593201494963,343.99593201494963,-6.772893357265275e-11,-7.318590178329032e-11,329.1063159999999,1040.3257225805396,213.73679837223926,188.37402791113936,12.662715568041023,190.43231556804062,329.1063159999999,359.0586320149498,930.8383509850503,0.0,26.528280999999765,802.9808096778327,353.79230258054315,380.5795025805438,558.9634025805422,584.6655625805383,155.10154950624974,503.11108249375025,329.106316,268.6467174661474,135.4103276015544,7.7151174661495645,0.0,198.30941746614837,329.1063159999999,1090.0,603.6626320000003,329.106316,329.106316,329.106316,329.106316,0.0,-1.0945200301648583e-10,-1.0945200301648583e-10,280.97526400021854,625.1794787237549,691.7058543190624,0.0,497.822854319061,622.7550543190641,572.6246543190578,324.37325076797106,333.8393812320289,329.106316,280.9752639999997,0.0,0.0,0.0,329.1063159999999,694.7133041657596,299.77475566848125,267.3872041657594,1090.0,104.99422092942655,102.55882731833051,0.0,73.42221575224266,329.1063159999999,329.1063159999999,1090.0,603.6626320000003,119.00242431743983,539.2102076825602,282.0142243174406,376.1984076825594,329.106316,0.0,164.5889098149537,405.1975567283481,28.497556728349338,11.79755672834861,329.1063159999999,433.0854145157491,1090.0,499.683533484251,202.11195348424928,97.69907554483065,192.49100830161728,330.388179334651,0.0,116.4976793346515,364.40299335860254,293.80963864139744,616.1570923325735,809.7200564807545,104.28485648075332,792.3347164807542,280.17118780442365,225.35493217668864,211.19428569922275,574.5834005448296
134,2,IME,conventional_hydroelectric,0.0,0.0,0.0,0.0,54.88263500000011,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,9.560457000000042,60.85606999999993,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,21.88263500000005,330.0,0.0,0.0,0.0,0.0,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,0.049999999999954525,211.09958100000006,0.0,0.0,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,313.5,0.0,0.0,0.0,38.33263500000004,0.049999999999954525,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,0.049999999999954525,140.68305400000008,0.049999999999954525,140.68305400000008,70.36652700000002,0.049999999999954525,70.36652700000002,70.36652700000002,211.09958100000006,0.0,0.0,70.36652700000002,70.36652700000002,140.73305400000004,0.0,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,313.5,0.0,140.733054,0.0,0.0,0.0,0.0,38.38263499999999,140.68305400000008,140.783054,0.0,0.0,70.36652700000002,140.68305400000008,0.049999999999954525,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,124.18305400000008,330.0,70.366527,0.0,0.0,0.0,0.0,38.38263499999999,92.19916200000011,330.0,0.0,0.0,0.0,0.0,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,70.36652700000002,140.68305400000008,0.049999999999954525,140.68305400000008,70.36652700000002,0.049999999999954525,140.68305400000008,37.099807000000055,33.31671999999992,140.68305400000008,313.5,0.0,0.0,0.0,0.0,38.38263499999999,70.36652700000002,280.59081801064895,0.8752899893511312,0.0,0.0,70.36652700000002,107.68305400000008,330.0
